ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,EURO,12,311,Single,China,False,,,,ED12GSA,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,52321,Approved,12.0,Freestanding,False,,2015-07-25,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,EURO,12,311,Single,China,False,,,,ED5DESA,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,52321,Approved,12.0,Freestanding,False,,2015-07-25,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,EURO,12,311,Single,China,False,,,,ED5DEWA,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,52321,Approved,12.0,Freestanding,False,,2015-07-25,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,277,Single,China,True,,,,DW400XA,AS/NZS 2007.1:2005,3.06268,3.0,0.0,2.3,Normal,129.0,"Australia,New Zealand",0.2927,42403,Approved,14.1,Freestanding,False,,2014-01-18,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,DAVINCI,4,308,Single,China,False,,,,DW5HTT,AS/NZS 2007.1:2005,0.4,1.0,0.0,0.6,Normal,133.0,"Australia,New Zealand",0.29,40460,Approved,9.8,On Bench,False,,2013-10-26,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Emilia,12,329,Single,China,False,580.0,850.0,IEC,EDW62SS,AS/NZS 2007.1:2005,2.57019695229,2.5,0.0,2.38,Normal,114.0,"Australia,Fiji,New Zealand",0.0,66750,Approved,12.0,Freestanding,False,600.0,2017-07-15,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Ole,8,294,Single,China,True,,,,WQP8-9241A,AS/NZS 2007.1:2005,1.7583,1.5,0.0,1.9,Normal,118.0,"Australia,New Zealand",0.29,57794,Approved,13.0,Built-in,False,,2016-05-16,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Bellissimo by technika,12,311,Single,China,False,,,,VDW6SS-4,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,44111,Approved,12.0,Freestanding,False,,2014-06-02,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ARDA,12,311,Single,China,False,,,,RVDWSS,AS/NZS 2007.1:2005,2.7279,2.5,0.0,2.38,Normal,114.0,"Australia,New Zealand",0.0,44109,Approved,12.0,Freestanding,False,,2014-05-31,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ASTIVITA,12,382,Single,China,True,,,,Gainni DW10*S-GI,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.6,NORMAL WASH,93.0,"Australia,New Zealand",2.1,43093,Approved,11.5,Freestanding,False,,2014-05-13,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,TECHNIKA,12,382,Single,China,True,600.0,850.0,,TDW60INTSS,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.61,NORMAL,93.0,"Australia,New Zealand",2.12,41495,Approved,11.5,Freestanding,False,600.0,2014-02-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,GIANNI,12,382,Single,China,True,,,,DW101*-GI,AS/NZS 2007.1:2005,2.15,2.0,0.0,1.61,normal,93.0,"Australia,New Zealand",2.12,39183,Approved,11.5,Freestanding,False,,2013-09-25,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,VENETO,12,382,Single,China,True,,,,VDW6**-2,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.61,Normal,93.0,"Australia,New Zealand",2.12,39170,Approved,11.5,Freestanding,False,,2013-09-25,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,TUSCANY,12,382,Single,China,True,,,,DW101*-T,AS/NZS 2007.1:2005,2.15,2.0,0.0,1.61,normal,93.0,"Australia,New Zealand",2.12,39043,Approved,11.5,Freestanding,False,,2013-09-25,,
