ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class
AS/NZS 2442.2:2000/Amdt 2:2007,Teco,5,False,Autosensing,China,,,Each individual model number listed above,CD5000A,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full heat, extra dry",170.0,"Australia,New Zealand",Approved,48914,3.973,,Vented,,2015-02-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,8,False,Autosensing,Poland,,,Each individual model number listed above,WTE86301AU,AS/NZS 2442.1:1996,351,2.16,2.0,Cottons Very Dry,200.0,"Australia,New Zealand",Expired,35761,6.28,,Condenser,,2012-09-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIEMENS,6.5,False,Autosensing,Poland,,,single,WT46W560AU,AS/NZS 2442.1:1996,128,7.122,6.0,Cottons Cupboard Dry,160.0,"Australia,New Zealand",Approved,55669,5.16,,Condenser,,2016-02-09,,
AS/NZS 2442.2:2000/Amdt 2:2007,DAEWOO,5,True,Autosensing,"""Korea, Republic of""",765.0,1020.0,Each individual model number listed above,DWC-ED1232,AS/NZS 2442.1:1996,203,2.6252,2.5,Very,224.0,"Australia,New Zealand",Expired,36597,4.102,34.08,Condenser,686.0,2012-11-27,,
AS/NZS 2442.2:2000/Amdt 2:2007,CANDY,4.5,True,Autosensing,Italy,,,Each individual model number listed above,CLD 135 AUS,AS/NZS 2442.1:1996,199,2.09616,2.0,"Cotton, Extra Dry",216.0,"Australia,New Zealand",Approved,38719,3.537,50.3,Condenser,,2013-07-16,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,4.5,,Timer,Australia,,,single,39S455L,AS/NZS 2442.1:1996,223,1.413,1.0,Hot,131.0,"Australia,New Zealand",Expired,14379,3.5,,Vented,,2009-01-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,4.5,,Timer,Australia,,,single,39P450L,AS/NZS 2442.1:1996,223,1.413,1.0,Hot,131.0,"Australia,New Zealand",Expired,14379,3.5,,Vented,,2009-01-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,King Fisher,6,False,Autosensing,China,530.0,840.0,,KFCD06,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Full Heat / Extra Dry,230.0,Australia,Approved,65551,4.702,,Vented,595.0,2017-08-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,Hafele,6,False,Autosensing,China,540.0,840.0,,538.91.500,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,COTT+/FULL HEAT,192.0,Australia,Approved,61620,5.9,,Vented,595.0,2016-11-30,,
AS/NZS 2442.2:2000/Amdt 2:2007,KLEENMAID,9,,Autosensing,United States,717.0,1111.0,single,LTK96,AS/NZS 2442.1:1996,480,1.62,1.5,less dry section of Automatic Regular/Delicate,120.0,"Australia,New Zealand",Expired,20555,7.86,,Vented,683.0,2010-07-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,KLEENMAID,9,,Autosensing,United States,717.0,1111.0,single,LEK/LEG33/37,AS/NZS 2442.1:1996,480,1.62,1.5,less dry section of Automatic Regular/Delicate,120.0,"Australia,New Zealand",Expired,20555,7.86,,Vented,683.0,2010-07-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,KLEENMAID,6.5,,Autosensing,Slovenia,,,single,KED500,AS/NZS 2442.1:1996,247,3.04,3.0,Hot cotton program,147.0,"Australia,New Zealand",Expired,20541,5.086,,Vented,,2010-05-31,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,6,True,Autosensing,"""Korea, Republic of""",,,single,WD-1255RD and WD-1256RD,AS/NZS 2442.1:1996,262,2.1919,2.0,Dry - Normal,197.0,"Australia,New Zealand",Expired,27064,4.782,76.0,Condenser,,2011-06-20,,
