Appliance,Brand,Model.No,Country,CEC,SRI,Star,TotWatCons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Dish Washer,MIELE,G2833SCi,Germany,367,2.7,2.5,16.1,14,Type,Built-in,Program Name,Normal,Program Time,165,Standby Power Usage,2.55
Dish Washer,ASKO,D3730,Sweden,374,1.34,1,14.8,8,Type,Built-in,Program Name,Normal wash Express 45c Normal dry (last rinse 60c),Program Time,99,Standby Power Usage,0.1
Dish Washer,WESTINGHOUSE,SB907SJ,Australia,318,2.67,2.5,14.93,12,Type,Built-in,Program Name,Normal Eco,Program Time,88,Standby Power Usage,0.089
Dish Washer,WESTINGHOUSE,SB907WJ,Australia,318,2.67,2.5,14.93,12,Type,Built-in,Program Name,Normal Eco,Program Time,88,Standby Power Usage,0.089
Dish Washer,NEFF,S52N63X0EU,Germany,401,2.2398,2,10.9,13,Type,Built-in,Program Name,Eco 50 C,Program Time,140,Standby Power Usage,0.1
Dish Washer,CLASSIQUE,CLDEW,China,336,2.511,2.5,15.5,12,Type,Freestanding,Program Name,Economic,Program Time,137,Standby Power Usage,0.29352
Dish Washer,CLASSIQUE,CLDESS,China,336,2.511,2.5,15.5,12,Type,Freestanding,Program Name,Economic,Program Time,137,Standby Power Usage,0.29352
Dish Washer,BAUMATIC,BKD14IN,China,379,2.1,2,15.7,12,Type,Built-in,Program Name,Normal,Program Time,140,Standby Power Usage,1.25
Dish Washer,AEG,Favorit 40860M,Italy,233,3.54,3.5,15.9,12,Type,Built-in,Program Name,Eco 50 C ,Program Time,99,Standby Power Usage,0.087
Dish Washer,AEG,Favorit 40760,Italy,233,3.54,3.5,15.9,12,Type,Built-in,Program Name,Eco 50 C ,Program Time,99,Standby Power Usage,0.087
Dish Washer,AEG,Favorit 44080IM,Italy,233,3.54,3.5,15.9,12,Type,Built-in,Program Name,Eco 50 C ,Program Time,99,Standby Power Usage,0.087
Dish Washer,AEG,Favorit 60850VIM,Italy,233,3.54,3.5,15.9,12,Type,Built-in,Program Name,Eco 50 C ,Program Time,99,Standby Power Usage,0.087
Dish Washer,DISHLEX,EX601SC,Italy,325,2.6,2.5,11.9,12,Type,Built-in,Program Name,Normal Eco,Program Time,93,Standby Power Usage,0
Dish Washer,DISHLEX,EX401ISC,Italy,325,2.6,2.5,11.9,12,Type,Built-in,Program Name,Normal Eco,Program Time,93,Standby Power Usage,0
Dish Washer,DISHLEX,DX303WL/SL,Italy,325,2.6,2.5,11.9,12,Type,Built-in,Program Name,Normal Eco,Program Time,93,Standby Power Usage,0
Dish Washer,AEG,Favorit 60860,Germany,231,3.56,3.5,18,12,Type,Built-in,Program Name,ECO 50,Program Time,100,Standby Power Usage,0.811
Dish Washer,AEG,Favorit 86070VI,Germany,231,3.56,3.5,18,12,Type,Built-in,Program Name,ECO 50,Program Time,100,Standby Power Usage,0.811
Dish Washer,AEG,Favorit 86080UM,Germany,231,3.56,3.5,18,12,Type,Built-in,Program Name,ECO 50,Program Time,100,Standby Power Usage,0.811
Dish Washer,AEG,Favorit 86070IM,Germany,231,3.56,3.5,18,12,Type,Built-in,Program Name,ECO 50,Program Time,100,Standby Power Usage,0.811
Dish Washer,BLANCO,DWF6XP,Turkey,274,3.515,3.5,15,14,Type,Freestanding,Program Name,Program 1 is Eco 45 C,Program Time,128,Standby Power Usage,0.06
Dish Washer,ARISTON,LV 645 A,Italy,399,2.0294,2,19.6,12,Type,Built-in,Program Name,Eco ,Program Time,160,Standby Power Usage,0.063
Dish Washer,ARISTON,LI 645 A,Italy,399,2.0294,2,19.6,12,Type,Built-in,Program Name,Eco ,Program Time,160,Standby Power Usage,0.063
Dish Washer,ELECTROLUX/GALLERY,ESF6125,,200,3.98,3.5,15.98,12,Type,Built-in,Program Name,Normal Eco,Program Time,99,Standby Power Usage,0.089
Dish Washer,SIMPSON,52C870SK,Poland,233,3.6,3.5,16.8,12,Type,Built-in,Program Name,Regular Eco,Program Time,99,Standby Power Usage,0
Dish Washer,SIMPSON,52C870WK,Poland,233,3.6,3.5,16.8,12,Type,Built-in,Program Name,Regular Eco,Program Time,99,Standby Power Usage,0
Dish Washer,WESTINGHOUSE,SB925SJ,Australia,315,2.69,2.5,16.18,12,Type,Built-in,Program Name,Normal Eco,Program Time,89,Standby Power Usage,0.089
Dish Washer,WESTINGHOUSE,SB915KJ,Australia,315,2.69,2.5,16.18,12,Type,Built-in,Program Name,Normal Eco,Program Time,89,Standby Power Usage,0.089
Dish Washer,WESTINGHOUSE,SB915SJ,Australia,315,2.69,2.5,16.18,12,Type,Built-in,Program Name,Normal Eco,Program Time,89,Standby Power Usage,0.089
Dish Washer,WESTINGHOUSE,SB915WJ,Australia,315,2.69,2.5,16.18,12,Type,Built-in,Program Name,Normal Eco,Program Time,89,Standby Power Usage,0.089
Dish Washer,ELECTROLUX,ESL6163,,226,3.63,3.5,16.57,12,Type,Built-in,Program Name,Normal Eco,Program Time,90,Standby Power Usage,0.089
Dish Washer,ELECTROLUX,EX401 ISB,Italy,233,3.58,3.5,15.92,12,Type,Built-in,Program Name,Eco,Program Time,99,Standby Power Usage,0.086
Dish Washer,AWARD,D3203DS,China,191,2.1514,2,8.7,6,Type,Built-in,Program Name,NORMAL,Program Time,107,Standby Power Usage,1.89
Dish Washer,AWARD,D3203W,China,191,2.1514,2,8.7,6,Type,Built-in,Program Name,NORMAL,Program Time,107,Standby Power Usage,1.89
Dish Washer,telmann,WQP12-9240,China,311,2.7279,2.5,12,12,Type,Freestanding,Program Name,Normal,Program Time,114,Standby Power Usage,0
Dish Washer,CLASSIQUE,CLD12W,China,319,2.65,2.5,15.6,12,Type,Freestanding,Program Name,NORMAL 2,Program Time,124,Standby Power Usage,0.842
Dish Washer,CLASSIQUE,CLD12SS,China,319,2.65,2.5,15.6,12,Type,Freestanding,Program Name,NORMAL 2,Program Time,124,Standby Power Usage,0.842
Dish Washer,AEG,ESF68040X,Italy,314,2.7,2.5,10.2,12,Type,Built-in,Program Name,Eco 50,Program Time,93,Standby Power Usage,0.07
Dish Washer,AEG,ESF66060X,Italy,314,2.7,2.5,10.2,12,Type,Built-in,Program Name,Eco 50,Program Time,93,Standby Power Usage,0.07
Dish Washer,AEG,ESF65060W/X,Italy,314,2.7,2.5,10.2,12,Type,Built-in,Program Name,Eco 50,Program Time,93,Standby Power Usage,0.07
Dish Washer,AEG,Favorit 88015 VI,Italy,314,2.7,2.5,10.2,12,Type,Built-in,Program Name,Eco 50,Program Time,93,Standby Power Usage,0.07
Dish Washer,AEG,Favorit 88025 VIM,Italy,314,2.7,2.5,10.2,12,Type,Built-in,Program Name,Eco 50,Program Time,93,Standby Power Usage,0.07
Dish Washer,AEG,Favorit 89020 IM,Italy,314,2.7,2.5,10.2,12,Type,Built-in,Program Name,Eco 50,Program Time,93,Standby Power Usage,0.07
Dish Washer,AEG,Favorit 60860,Italy,233,3.54,3.5,16.8,12,Type,Built-in,Program Name,Energy Saving,Program Time,99,Standby Power Usage,0.087
Dish Washer,AEG,Favorit 86070VI,Italy,233,3.54,3.5,16.8,12,Type,Built-in,Program Name,Energy Saving,Program Time,99,Standby Power Usage,0.087
Dish Washer,AEG,Favorit 86070IM,Italy,233,3.54,3.5,16.8,12,Type,Built-in,Program Name,Energy Saving,Program Time,99,Standby Power Usage,0.087
Dish Washer,AEG,Favorit 86080FUM,Italy,233,3.54,3.5,16.8,12,Type,Built-in,Program Name,Energy Saving,Program Time,99,Standby Power Usage,0.087
Dish Washer,ELECTROLUX,ESL66010B,Italy,325,2.6,2.5,11.9,12,Type,Built-in,Program Name,ECO (Normal Eco 50),Program Time,92,Standby Power Usage,0
Dish Washer,MIDEA,WQP12-9227C,China,336,2.51,2.5,15.6,12,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.29352
Dish Washer,MIDEA,WQP12-9227A,China,336,2.51,2.5,15.6,12,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.29352
Dish Washer,MIDEA,WQP12-9213A,China,336,2.51,2.5,15.6,12,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.29352
Dish Washer,MIDEA,WQP12-9213,China,336,2.51,2.5,15.6,12,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.29352
Dish Washer,TRIESTE,WQP8-9325,China,294,1.7583,1.5,13.033,8,Type,Built-in,Program Name,Normal,Program Time,120,Standby Power Usage,0.288119
Dish Washer,TRIESTE,WQP8-9347E,China,294,1.7583,1.5,13.033,8,Type,Built-in,Program Name,Normal,Program Time,120,Standby Power Usage,0.288119
Dish Washer,TRIESTE,TRD-IWQP8-9347E,China,294,1.7583,1.5,13.033,8,Type,Built-in,Program Name,Normal,Program Time,120,Standby Power Usage,0.288119
Dish Washer,BAUMATIC,BDW65W,China,264,3.6195,3.5,13,14,Type,Freestanding,Program Name,Normal ,Program Time,162,Standby Power Usage,0.21
Dish Washer,BAUMATIC,BDWI660-AUS,China,264,3.6195,3.5,13,14,Type,Freestanding,Program Name,Normal ,Program Time,162,Standby Power Usage,0.21
Dish Washer,TRIESTE,TRD-WQP12-9240H WH,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,TRIESTE,TRD-WQP12-9240H S/S,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,TRIESTE,TRD-WQP12-9240H,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,BLANCO,DWIN7,Turkey,274,3.515,3.5,15,14,Type,Built-in,Program Name,Program 1 is Eco 45 C,Program Time,128,Standby Power Usage,0.06
Dish Washer,DE DIETRICH,DVH744XA1,France,212,4.0267,4,14.3,13,Type,Freestanding,Program Name,Normal Eco,Program Time,100,Standby Power Usage,0.888
Dish Washer,DE DIETRICH,DVH740JA1,France,212,4.0267,4,14.3,13,Type,Freestanding,Program Name,Normal Eco,Program Time,100,Standby Power Usage,0.888
Dish Washer,BLANCO,DWF6X,Turkey,275,3.505,3.5,13.1,14,Type,Freestanding,Program Name,Program 5 is Eco 45 C,Program Time,120,Standby Power Usage,0.09
Dish Washer,HYUNDAI,HYDW12S,China,319,2.657,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
