ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,8,,254,,73.5,True,Dual,"""Korea, Republic of""",,,Drum,,1.0,Yes on the warm wash program only,Front,Drum,WD-1488RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.5651159,4.5,,,"Cotton 40 C, Intensive, Rinse-Normal,1400 rpm","Australia,New Zealand",,26569,Superseded,148.0,74.5,Drum,0.504,,2011-06-21,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,6.5,62,509,"Regular, Cold, High, ECO",64.4,False,Dual,New Zealand,,,Non Drum,,26.3,No,Top,Agitator,MW612,AS/NZS 2040.1:2005/Amdt 3:2010,2.24,2.0,,,"Regular, Warm, High, ECO",New Zealand,,25359,Superseded,43.0,91.0,Non-Drum,0.68,,,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6,,274,,56.3,False,Dual,Italy,,,Drum,,12.1,Yes on the warm wash program only,Front,Drum,WIL62,AS/NZS 2040.1:2005/Amdt 3:2010,3.2708,3.0,,,"Program No.3,Cotton 40C, 600RPM","Australia,New Zealand",,24780,Superseded,90.5,68.4,Drum,0.818,,2011-04-26,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6,,274,,56.3,False,Dual,Italy,,,Drum,,12.1,Yes on the warm wash program only,Front,Drum,WI 62,AS/NZS 2040.1:2005/Amdt 3:2010,3.2708,3.0,,,"Program No.3,Cotton 40C, 600RPM","Australia,New Zealand",,24780,Superseded,90.5,68.4,Drum,0.818,,2011-04-26,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7.5,,205,,69.1,False,Dual,China,,550.0,Drum,850.0,0.9,Yes on the warm wash program only,Front,Drum,WD-1238C,AS/NZS 2040.1:2005/Amdt 3:2010,4.703,4.5,,,"Cotton 40C,Intensive, 1200rpm","Australia,New Zealand",,24415,Expired,163.0,70.0,Drum,0.574,600.0,2011-03-02,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),Haier,6,86,520,,101.0,False,Dual,China,,610.0,,945.0,22.8,No,Top,Impeller,XQB60-91BF,AS/NZS 2040.1:2005/Amdt 3:2010,1.86,1.5,,,"Normal  warm/cold  wash, high water level","Australia,New Zealand",,24156,Expired,80.0,125.0,Non-Drum,0.814,555.0,2011-03-15,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),Haier,6,86,520,,101.0,False,Dual,China,,610.0,,945.0,22.8,No,Top,Impeller,HWMP60TLF,AS/NZS 2040.1:2005/Amdt 3:2010,1.86,1.5,,,"Normal  warm/cold  wash, high water level","Australia,New Zealand",,24156,Expired,80.0,125.0,Non-Drum,0.814,555.0,2011-03-15,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,7.5,,366,,54.7,False,Dual,Italy,,565.0,Drum,850.0,12.6,Yes on the warm wash program only,Front,Drum,WIXL125AUS,AS/NZS 2040.1:2005/Amdt 3:2010,3.42428,3.0,,,"Program No. 2, Cotton 60C","Australia,New Zealand",,24349,Expired,106.8,67.4,Drum,0.623,595.0,2011-03-26,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),TELMANN,6,86,520,,101.0,False,Dual,China,,610.0,,945.0,22.8,No,Top,Impeller,TEL6TL,AS/NZS 2040.1:2005/Amdt 3:2010,1.86,1.5,,,"Normal  warm/cold  wash, high water level","Australia,New Zealand",,24159,Expired,80.0,125.0,Non-Drum,0.814,555.0,2011-03-15,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ARISTON,7.5,,286,,59.9,False,Dual,Italy,,,Drum,,11.8,Yes on the warm wash program only,Front,Drum,AVXL 129,AS/NZS 2040.1:2005/Amdt 3:2010,3.98728,3.5,,,"Program No.3, Cotton 40","Australia,New Zealand",,24292,Expired,107.5,71.7,Drum,0.603,,2011-03-23,,
