"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"9315","GREE","GWH24RD-K3NNA3B","China",2.03,1.6482,1.5,1.403,"Non Ducted","Single Split System","Reverse Cycle"
"9316","GREE","GWH24RD-K3NNA2B","China",2.03,1.6482,1.5,1.403,"Non Ducted","Single Split System","Reverse Cycle"
"9317","GREE","GWH24RD-K3NNA1B","China",2.03,1.6482,1.5,1.403,"Non Ducted","Single Split System","Reverse Cycle"
"9320","CHANGHONG","CHF25GWT","China",0.7,2.256,2,0.697,"Non Ducted","Single Split System","Reverse Cycle"
"9321","CHANGHONG","CHE25GWT","China",0.7,2.256,2,0.697,"Non Ducted","Single Split System","Reverse Cycle"
"9322","CHANGHONG","CHD25GWT","China",0.7,2.256,2,0.697,"Non Ducted","Single Split System","Reverse Cycle"
"9323","CHANGHONG","CHC25GWT","China",0.7,2.256,2,0.697,"Non Ducted","Single Split System","Reverse Cycle"
"9324","CHANGHONG","CHB25GWT","China",0.7,2.256,2,0.697,"Non Ducted","Single Split System","Reverse Cycle"
"9325","CHANGHONG","CHA25GWT","China",0.7,2.256,2,0.697,"Non Ducted","Single Split System","Reverse Cycle"
"9326","CHANGHONG","CHF60GWN","China",1.92,1.4986,1,1.601,"Non Ducted","Single Split System","Reverse Cycle"
"9327","CHANGHONG","CHE60GWN","China",1.92,1.4986,1,1.601,"Non Ducted","Single Split System","Reverse Cycle"
"9328","CHANGHONG","CHD60GWN","China",1.92,1.4986,1,1.601,"Non Ducted","Single Split System","Reverse Cycle"
"9329","CHANGHONG","CHC60GWN","China",1.92,1.4986,1,1.601,"Non Ducted","Single Split System","Reverse Cycle"
"9330","CHANGHONG","CHB60GWN","China",1.92,1.4986,1,1.601,"Non Ducted","Single Split System","Reverse Cycle"
"9331","CHANGHONG","CHA60GWN","China",1.92,1.4986,1,1.601,"Non Ducted","Single Split System","Reverse Cycle"
"9335","AKAI","TEM-26CHSAAU","China",0.74,2.3326,2,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"9336","DELONGHI","DECON73AUP","China",2.25,1.8986,1.5,1.9,"Non Ducted","Single Split System","Reverse Cycle"
"9337","DE","DSB-18HRDN1-QC2G","China",1.54,2.0124,2,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"9338","MIDEA","MHA-48HRDN1-C2/MOU-48HDN1-C2","China",4.6,1.442,1,3.54,"Ducted","Single Split System","Reverse Cycle"
"9340","MIDEA","MHA-60HRDN1-C2/MOU-60HDN1-C2","China",5.25,1.179,1,1.07,"Ducted","Single Split System","Reverse Cycle"
"9341","ELFA","ACF-12H","China",0.91,2.5426,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"9342","EUROART","ACF-12H","China",0.91,2.5426,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"9343","MIDEA","MSG-35HRN1-QC2GPW","China",2.7,2.0088,2,3.42,"Non Ducted","Single Split System","Reverse Cycle"
