"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"293","GALANZ","AUS-12H53R120L4(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"294","GALANZ","AUS-12H53R120L3(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"295","GALANZ","AUS-12H53R120L2(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"296","GALANZ","AUS-12H53R120L1(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"297","GREE","GJH09AB-K3MNB8A","China",0.9,1.4114,1,0.552,"Non Ducted","Window Wall","Reverse Cycle"
"298","TOSHIBA","RAS-24SKV2-A + RAS-24SAV2-A","Thailand",2.33,1.6382,1.5,1.6,"Non Ducted","Single Split System","Reverse Cycle"
"301","GALANZ","AUS-18H53R230D40(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"302","GALANZ","AUS-18H53R230D30(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"303","GALANZ","AUS-18H53R230D29(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"304","GALANZ","AUS-18H53R230D24(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"305","GALANZ","AUS-18H53R230D23(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"306","GALANZ","AUS-18H53R230D21(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"307","GALANZ","AUS-18H53R230D18(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"308","GALANZ","AUS-18H53R230D16(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"309","BENSON","BENDX 1P W 24  R/RC","China",0.69,2,2,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"311","Gree","GWH28ME-K3DNA3A","China",2.66,1.6854,1.5,1.89,"Non Ducted","Window Wall","Reverse Cycle"
"312","SHARP","AC18RMCSYS","China",1.54,1.8752,1.5,1.318,"Non Ducted","Single Split System","Reverse Cycle"
"313","SHARP","AC09RMCSYS","China",0.61,3.9018,3.5,0.765,"Non Ducted","Single Split System","Reverse Cycle"
"314","Gree","GWH12MB-K3DNA7E","China",1.025,2.2912,2,0.375,"Non Ducted","Single Split System","Reverse Cycle"
"315","Gree","GWH09MA-K3DNA7E","China",0.733,2.3482,2,0.222,"Non Ducted","Single Split System","Reverse Cycle"
"316","Gree","GWH24MD-K3DNA7A","China",2,1.4676,1,1.422,"Non Ducted","Single Split System","Reverse Cycle"
"317","Gree","GWH18MC-K3DNA7A","China",1.64,1.574,1.5,1.27,"Non Ducted","Single Split System","Reverse Cycle"
"318","CHIGO","CSS-61H3A-W*AE2B","China",1.98,1.5,1.5,1.53,"Non Ducted","Single Split System","Reverse Cycle"
"319","YORK","YJHC12FSAAAA-III","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"320","SHARP","AC24RMCSYS","China",2,1.5168,1.5,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"321","SHARP","AC12RMCSYS","China",1,2.4512,2,0.78,"Non Ducted","Single Split System","Reverse Cycle"
"322","SHARP","AC-ZP60LZSYS","Thailand",1.47,2.4338,2,1.15,"Non Ducted","Single Split System","Reverse Cycle"
"323","YORK","YJHC09DSAAAA-III","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"324","CHIGO","CS-25H3A-M*AH5","China",0.77,2.6126,2.5,0.54,"Non Ducted","Single Split System","Reverse Cycle"
"325","CHIGO","CS-35H3A-P*AH5G","China",1,2.2916,2,0.5,"Non Ducted","Single Split System","Reverse Cycle"
"326","GREE","GWH18MC-K3NNA7B","China",1.7,1.4692,1,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"327","GREE","GWH18MC-K3NNA6B","China",1.7,1.4692,1,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"328","GREE","GWH18MC-K3NNA5B","China",1.7,1.4692,1,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"329","GREE","GWH18MC-K3NNA4B","China",1.7,1.4692,1,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"330","GREE","GWH18MC-K3NNA2B","China",1.7,1.4692,1,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"331","GREE","GWH18MC-K3NNA3B","China",1.7,1.4692,1,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"332","GREE","GWH12MB-K3NNA4B","China",0.99,2.287,2,0.92,"Non Ducted","Single Split System","Reverse Cycle"
"333","GREE","GWH12MB-K3NNA3B","China",0.99,2.287,2,0.92,"Non Ducted","Single Split System","Reverse Cycle"
"334","GREE","GWH12MB-K3NNA2B","China",0.99,2.287,2,0.92,"Non Ducted","Single Split System","Reverse Cycle"
"335","GREE","GWH09MB-K3NNA2B","China",0.8,2.2656,2,0.43,"Non Ducted","Single Split System","Reverse Cycle"
"336","GREE","GWH09MB-K3NNA3B","China",0.8,2.2656,2,0.43,"Non Ducted","Single Split System","Reverse Cycle"
"337","GREE","GWH09MB-K3NNA4B","China",0.8,2.2656,2,0.43,"Non Ducted","Single Split System","Reverse Cycle"
"338","GREE","GWH12MB-K3DNA2E","China",1.03,2.3314,2,0.28,"Non Ducted","Single Split System","Reverse Cycle"
"339","AKAI","AUS-18H53R230D4(a4)","China",1.6,1.51811885413,1.5,2.45,"Non Ducted","Single Split System","Reverse Cycle"
"340","AKAI","AUS-12H53R130D2(b2)","China",0.97,2.3320164824,2,0.684,"Non Ducted","Single Split System","Reverse Cycle"
"341","LG","UTN18WH/UU18WH","""Korea, Republic of""",1.35,2.9656,2.5,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"344","TOSHIBA","RAS-10SKVR-A & RAS-10SAVR-A","Thailand",0.6,3.36,3,1,"Non Ducted","Single Split System","Reverse Cycle"
"346","LENNOX","LNE088C/LNC088C","China",2.7,2.0088,2,3.42,"Non Ducted","Single Split System","Reverse Cycle"
"351","Gree","GWHD12ABNK3A1A","China",1,2.4512,2,0.85,"Non Ducted","Single Split System","Reverse Cycle"
"352","LG","UTN21WH/UU21WH","""Korea, Republic of""",1.53,3.2028,3,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"353","LG","UTN12WH/UU12WH","""Korea, Republic of""",0.99,2.964,2.5,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"358","GREE","GWH09MA-K3DNA2A","China",0.718,2.3482,2,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"363","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK71ZEA-S1","Thailand",2.21,1.5746,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"365","Panasonic","CS-E12GFEW/CU-E12GFE-1","Malaysia",0.965,2.28,2,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"366","ICE Solair Australia Pty Ltd","ICE(RC)-35WM","China",1.01,2.30160028532,2,0.5,"Non Ducted","Single Split System","Reverse Cycle"
"367","Panasonic","CS-E15JD3EA/CU-E15HBR","Malaysia",1.24,1.5754,1.5,0.2,"Ducted","Single Split System","Reverse Cycle"
"368","SHARP","AC18RMCSYS","China",1.54,2.051,2,1.272,"Non Ducted","Single Split System","Reverse Cycle"
"369","TOSHIBA","RAS-22SKVR-A+RAS-22SAV2-A","Thailand",2,1.2594,1,2,"Non Ducted","Single Split System","Reverse Cycle"
"370","CARRIER","42NQV050M-A + 38NYV050M-A","Thailand",1.51,2.2128,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"372","Panasonic","CS-E24LKR-1/CU-E24LKR-1","Malaysia",2.36,1.5522,1.5,2.2,"Non Ducted","Single Split System","Reverse Cycle"
"373","GREE","GWH09RB-K3NNA5B","China",0.8,2.275,2,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"374","GREE","GWH09RB-K3NNA4B","China",0.8,2.275,2,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"375","GREE","GWH09RB-K3NNA3B","China",0.8,2.275,2,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"376","GREE","GWH09RB-K3NNA2B","China",0.8,2.275,2,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"377","GREE","GWH09RB-K3NNA1B","China",0.8,2.275,2,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"378","GREE","GWH24MD-K3DNA3A","China",2,1.4726,1,1.56,"Non Ducted","Single Split System","Reverse Cycle"
"379","AQUILON","RIH85A(outdoor unit); DIV85A (indoor unit)","China",2.81,1.1816,1,1,"Ducted","Single Split System","Reverse Cycle"
"380","SHARP","AC18RNCSYS","China",1.52,2.0536,2,3.5,"Non Ducted","Single Split System","Reverse Cycle"
"381","SHARP","AC12RNCSYS","China",0.9,3.0534,3,0.875,"Non Ducted","Single Split System","Reverse Cycle"
"382","SHARP","AC09RNCSYS","China",0.67,3.223,3,0.628,"Non Ducted","Single Split System","Reverse Cycle"
"383","SHARP","AC24RNCSYS","China",2,2.4704,2,5.397,"Non Ducted","Single Split System","Reverse Cycle"
"384","CARRIER","42LUVH034K+38LUVH034K","China",0.88,3.0606,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"385","CARRIER","42LUVH050K+38LUVH050K","China",1.51,2.0506,2,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"386","CARRIER","42LUVH060K+38LUVH060K","China",1.85,2.0224,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"387","CARRIER","42LUVH080K+38LUVH080K","China",2.46,2.1304,2,2.1,"Non Ducted","Single Split System","Reverse Cycle"
"388","GREE","GWH09AA-K5NNA6A","China",0.78,2.3634,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"389","TOSHIBA","RAS-13SKVR-A +RAS-13SAVR-A","Thailand",1.02,2.0284,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"392","AURA","AUR-09CRN1","China",0.76,2.8058,2.5,0.36,"Non Ducted","Single Split System","Cooling Only"
"393","SHARP","AC48LZSYS","China,Thailand",0.99,2.28,2,0.82,"Non Ducted","Single Split System","Reverse Cycle"
"394","Gree","GJH24AC-K3MNB8A","China",1.99,1.5128,1.5,1.79,"Non Ducted","Window Wall","Reverse Cycle"
"395","Gree","GWHD24C1NK3AA","China",2.4,1.5478,1.5,2.19,"Non Ducted","Single Split System","Reverse Cycle"
"399","Domain","IWR-60C","China",2,1.648,1.5,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"400","SUMIDA","SASW-H18A4/SKR1DI-AU","China",1.65,1.5413,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"401","SUMIDA","SASW-H12A4/SKR1DI-AU","China",0.988,2.3472,2,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"402","AURA","AUR-24CRN1","China",2.2,2.1094,2,1.81,"Non Ducted","Wall Hung Portable Balanced","Cooling Only"
"405","HOSHINO","H-INV-3.5KW","China",1.03,2.2467,2,0.665,"Non Ducted","Single Split System","Reverse Cycle"
"407","YORK","YJHC24DSAAAA-III","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"408","GALANZ","AUS-18H53R230D25(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"409","GALANZ","AUS-18H53R230D24(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"410","GALANZ","AUS-18H53R230D21(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"411","GALANZ","AUS-18H53R230D11(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"412","GALANZ","AUS-18H53R230D10(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"413","GALANZ","AUS-18H53R230D5(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"414","GALANZ","AUS-18H53R230D4(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"415","GALANZ","AUS-18H53R230D3(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"416","GALANZ","AUS-18H53R230D2(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"417","GALANZ","AUS-18H53R230D1(a4)","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"418","SUMIDA","SASW-H24TA4/SKR1DI-AU","China",2,1.8332,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"419","SUMIDA","SASW-H09A4/SKR1DI-AU","China",0.76,2.4758,2,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"420","MITSUBISHI HEAVY INDUSTRIES LTD.","FDEN140VNXVD","Thailand",4.98,0.8326,1,3.904,"Non Ducted","Single Split System","Reverse Cycle"
"421","GLOBAL AIR","ASW-H24TA4/#R1DI","China",2,1.834,1.5,0.77,"Non Ducted","Single Split System","Reverse Cycle"
"422","Domain","IWR-80C","China",2.66,1.68,1.5,1.851,"Non Ducted","Single Split System","Reverse Cycle"
"423","SHARP","AC28RMCSYS","China",2.66,1,1,1.84,"Non Ducted","Single Split System","Reverse Cycle"
"425","Gree","GWH18MC-K3NNA8B/I & GWH18MC-K3NNA3B/O","China",1.7,1.487,1,1.15,"Non Ducted","Window Wall","Reverse Cycle"
"427","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK35ZGA-S","Thailand",1.05,2.034,2,1,"Non Ducted","Single Split System","Reverse Cycle"
"428","Haier","AD282AHEAA/AU282AHEAA","China",2.98,1.0696,1,2.2,"Ducted","Single Split System","Reverse Cycle"
"429","Haier","AB362ACEAA/AU362AIEAA","China",3.45,2.0484,2,2.8,"Non Ducted","Single Split System","Reverse Cycle"
"430","GLOBAL AIR","ASW-H24B4/SQCR1-AU","China",2.11,1.9278,1.5,1.533,"Non Ducted","Single Split System","Reverse Cycle"
"431","Haier","AD282AMERA/AU282AHERA","China",2.85,1.175,1,3,"Ducted","Single Split System","Reverse Cycle"
"438","CARRIER","42LUVH034K & 38LUVH034K","China",0.88,3.06,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"441","LG","M28AWN-NC11/R28AWN-UC11","""Korea, Republic of""",2.58,1.6958,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"442","LG","E28AWN-NC11/R28AWN-UC11","""Korea, Republic of""",2.58,1.6958,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"443","LG","R28AWN-NC11/R28AWN-UC11","""Korea, Republic of""",2.58,1.6958,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"450","Haier","AB362ACEAA/AU362AIEAA","China",3.45,2.0484,2,2.8,"Non Ducted","Single Split System","Reverse Cycle"
"451","HAIER","HSU-12HEA03/R2(DB)-A","China",1.02,2.684,2.5,1.17,"Non Ducted","Single Split System","Reverse Cycle"
"452","MITSUBISHI HEAVY INDUSTRIES LTD.","FDT125VNV","Thailand,Japan",4.05,1.1982,1,2.5,"Non Ducted","Single Split System","Reverse Cycle"
"453","MITSUBISHI HEAVY INDUSTRIES LTD.","FDT125VNVD","Thailand,Japan",4.05,1.1982,1,2.5,"Non Ducted","Single Split System","Reverse Cycle"
"454","Metro","MT-5.2KW","China",1.64,1.5432,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"455","Metro","MT-7.0KW","China",2.3,1.5988,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"456","DIMPLEX","GD18I","China",1.64,1.57,1.5,1.275,"Non Ducted","Single Split System","Reverse Cycle"
"460","Haier","AD282AMERA/AU282AHERA","China",2.85,1.175,1,3,"Ducted","Single Split System","Reverse Cycle"
"461","LENNOX","LNE027C/LNC027C","China",0.75,2.5058,2.5,0.34,"Non Ducted","Single Split System","Reverse Cycle"
"462","LG","M24AWN-NC11/R24AWN-UC11","""Korea, Republic of""",2.35,1.8232,1.5,2,"Non Ducted","Single Split System","Reverse Cycle"
"463","LG","E24AWN-NC11/R24AWN-UC11","""Korea, Republic of""",2.35,1.8232,1.5,2,"Non Ducted","Single Split System","Reverse Cycle"
"464","LG","R24AWN-NC11/R24AWN-UC11","""Korea, Republic of""",2.35,1.8232,1.5,2,"Non Ducted","Single Split System","Reverse Cycle"
"468","TOSHIBA","RAS-B10UFV-A + RAS-10SAVR-A","Thailand",0.6,3.3432,3,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"469","TOSHIBA","RAS-B13UFV-A + RAS-13SAVR-A2","Thailand",1.02,2.2084,2,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"470","TOSHIBA","RAS-B18UFV-A + RAS-18SAV2-A","Thailand",1.63,1.4182,1,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"480","TEMPERZONE","ISDL56KOSA55RKS","New Zealand,Australia",1.85,1.26449412134,1,0.968,"Ducted","Single Split System","Reverse Cycle"
"487","GREE","GWH12AB-K5NNA6A","China",1.005,2.1742,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"488","TOSHIBA","RAS-22SKVR-A & RAS-22SAV2-A","Thailand",2,1.2594,1,2,"Non Ducted","Single Split System","Reverse Cycle"
"489","YORK","YJHC12DSAAAA-III","China",0.95,1.99,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"499","LENNOX","LNE071C/LNC071C","China",2.15,2.0266,2,1.67,"Non Ducted","Single Split System","Reverse Cycle"
"500","LENNOX","LED100V3/LCD100V3","China",2.9,1.4878,1,2.08,"Ducted","Single Split System","Reverse Cycle"
"502","CARRIER","42LUVH070K+38LUVH070K","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"503","CARRIER","42NQV035H-A + 38NYV035H-A","Thailand",1.03,2.0284,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"507","GALANZ","AUS-24H53R330G21(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"508","GALANZ","AUS-24H53R330G19(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"509","GALANZ","AUS-24H53R330G11(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"510","GALANZ","AUS-24H53R330G10(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"511","GALANZ","AUS-24H53R330G6(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"512","GALANZ","AUS-24H53R330G5(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"513","GALANZ","AUS-24H53R330G4(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"514","GALANZ","AUS-24H53R330G3(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"515","GALANZ","AUS-24H53R330G2(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"516","GALANZ","AUS-24H53R330G1(a4)","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"517","SolAir World","SW W(R)-35GW","China",1.01,2.28415531451,2,0.515,"Non Ducted","Single Split System","Reverse Cycle"
"518","ADVANTAGE AIR","AACV-220","China",7.2,1.64581978339,1.5,4.5,"Ducted","Single Split System","Reverse Cycle"
"519","GALANZ","AUS-09H53R150L25(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"520","GALANZ","AUS-09H53R150L24(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"521","GALANZ","AUS-09H53R150L21(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"522","GALANZ","AUS-09H53R150L15(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"523","GALANZ","AUS-09H53R150L10(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"524","GALANZ","AUS-09H53R150L5(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"525","GALANZ","AUS-09H53R150L4(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"526","GALANZ","AUS-09H53R150L3(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"527","GALANZ","AUS-09H53R150L2(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"528","GALANZ","AUS-09H53R150L1(b2)","China",0.735,2.3334,2,0.445,"Non Ducted","Single Split System","Reverse Cycle"
"529","GALANZ","AUS-24H53R330G30(Da)","China",2.1,1.64,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"530","GALANZ","AUS-24H53R330G29(Da)","China",2.1,1.64,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"531","GALANZ","AUS-24H53R330G21(Da)","China",2.1,1.64,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"532","GALANZ","AUS-24H53R330G19(Da)","China",2.1,1.64,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"533","YORK","YJHC18FSAAAA-III","China",1.6,1.5182,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"534","GALANZ","AUS-24H53R330G21(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"535","GALANZ","AUS-24H53R330G19(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"536","GALANZ","AUS-24H53R330G11(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"537","GALANZ","AUS-24H53R330G10(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"538","GALANZ","AUS-24H53R330G6(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"539","GALANZ","AUS-24H53R330G5(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"540","GALANZ","AUS-24H53R330G4(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"541","GALANZ","AUS-24H53R330G3(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"542","GALANZ","AUS-24H53R330G2(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"543","GALANZ","AUS-24H53R330G1(f4)","China",2.3,1.5294,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"544","GREE","GWH24MD-K3NNA4B","China",2.04,1.5658,1.5,1.62,"Non Ducted","Single Split System","Reverse Cycle"
"545","GREE","GWH24MD-K3NNA2B","China",2.04,1.5658,1.5,1.62,"Non Ducted","Single Split System","Reverse Cycle"
"546","GREE","GWH24MD-K3NNA3B","China",2.04,1.5658,1.5,1.62,"Non Ducted","Single Split System","Reverse Cycle"
"547","GREE","GWH12RB-K3NNA5B","China",0.97,2.374,2,0.475,"Non Ducted","Single Split System","Reverse Cycle"
"548","GREE","GWH12RB-K3NNA4B","China",0.97,2.374,2,0.475,"Non Ducted","Single Split System","Reverse Cycle"
"549","GREE","GWH12RB-K3NNA3B","China",0.97,2.374,2,0.475,"Non Ducted","Single Split System","Reverse Cycle"
"550","GREE","GWH12RB-K3NNA2B","China",0.97,2.374,2,0.475,"Non Ducted","Single Split System","Reverse Cycle"
"551","GREE","GWH12RB-K3NNA1B","China",0.97,2.374,2,0.475,"Non Ducted","Single Split System","Reverse Cycle"
"552","GALANZ","AUS-24H53R330G18(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"553","GALANZ","AUS-24H53R330G11(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"554","GALANZ","AUS-24H53R330G10(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"555","GALANZ","AUS-24H53R330G7(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"556","GALANZ","AUS-24H53R330G6(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"557","GALANZ","AUS-24H53R330G5(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"558","GALANZ","AUS-24H53R330G4(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"559","GALANZ","AUS-24H53R330G3(Da)","China",2.1,1.6462,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
