Appliance,Brand,Model.No,Country,CEC_,New.SRI,New.Star,Tot.Wat.Cons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value
Clothes Washer,SIMPSON,22S750L,Australia,696,1.81,1.5,188,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,SAMSUNG,J1045AV,China,297,3.7175,3.5,52.5,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,HITACHI,SF-6500PX,"""Korea, Republic of""",734,1.2,1,166,6.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,HITACHI,SF-H800PX,Japan,917,1.33,1,189,8,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,HITACHI,PS-60AP,Thailand,429,1.22,1,81,3.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WD-8026C,China,262,3.7286,3.5,85.8,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ELECTROLUX,EW1055F,Italy,243,3.634,3.5,55.9,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ARISTON,AL 128 D,Italy,327,3.2,3,68,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WF-T655A,"""Korea, Republic of""",729,1.25,1,85.4,6.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,Haier,XQJ85-196,China,709,2.0617,2,166,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,LG,WF-T855A,"""Korea, Republic of""",851,1.63,1.5,110.9,8.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WF-T955A,"""Korea, Republic of""",884,1.61,1.5,126.9,9.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,LG,WD-1480 RD,"""Korea, Republic of""",256,4.2493,4,86,8,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MIELE,W2888,Germany,200,4.2739,4,48.4,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,DEC,D-85CWM,China,709,2.0617,2,166,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MIELE,W2653,Germany,203,4.161,4,50,5.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,Haier,XQJ85E,China,824,1.61,1.5,181,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,Haier,XQJ85-97,China,824,1.61,1.5,181,8.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
