Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class
46178,CELESTIAL,LT1568HDB,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1568HDA,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1568HDF,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1568HDS,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
46178,CELESTIAL,LT1568HD,Australia,China,39.0,665.85,LCD,1.0,0.0,0.0,27.9,4.5,4.79,107.0,Approved,2014-11-01,,
47844,Metz,Sirius 42 FHDTV 100 R,"Australia,New Zealand",Germany,107.0,4863.9,LCD,1.3,45.0,0.5,168.0,3.0,3.153,628.0,Approved,2014-12-22,,
47848,Metz,Linus 32 HDTV 100,"Australia,New Zealand",Germany,80.0,2743.1,LCD,1.3,45.0,0.5,115.0,2.5,2.648,435.0,Approved,2014-12-22,,
50292,TECOVISION,LL315DTGHDH3,"Australia,Fiji,New Zealand",China,80.1,2736.2,LCD,0.6,0.0,0.0,130.7,2.0,2.189,481.0,Approved,2015-05-03,,
50292,TECOVISION,EA32D1PM** (*=0~9;A~Z),"Australia,Fiji,New Zealand",China,80.1,2736.2,LCD,0.6,0.0,0.0,130.7,2.0,2.189,481.0,Approved,2015-05-03,,
50292,TECOVISION,EA32D1PM,"Australia,Fiji,New Zealand",China,80.1,2736.2,LCD,0.6,0.0,0.0,130.7,2.0,2.189,481.0,Approved,2015-05-03,,
55535,CONIA,CE2401FHDVDR,Australia,China,59.94,1528.2,LCD (LED),0.69,0.0,0.0,37.9,5.5,5.715,142.0,Approved,2016-02-06,,
45712,LG,32LH50YD-AA,"Australia,New Zealand",Indonesia,81.0,2743.66,LCD,0.45,0.0,0.0,96.42,3.0,3.15,389.0,Approved,2014-09-30,,
45727,LG,47LH90QD-AA,"Australia,New Zealand","""Korea, Republic of""",119.0,6080.26,LCD (LED),0.45,0.0,0.0,109.68,5.0,5.405,463.0,Approved,2014-09-30,,
46154,CELESTIAL,LT1911HDS,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1911HDC,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1911HDB,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1911HDA,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1911HD,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1968HDH,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1968HDC,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1968HDB,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1968HDA,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
46154,CELESTIAL,LT1968HDS,Australia,China,48.0,1049.6,LCD,0.74,0.0,0.0,37.61,4.5,4.631,142.0,Approved,2014-11-01,,
45719,LG,42LH20D-AA,"Australia,New Zealand",Indonesia,107.0,4865.3,LCD,0.43,0.0,0.0,132.4,4.0,4.096,509.0,Approved,2014-09-30,,
52682,Kogan,LC-19A78V,Australia,China,47.0128,944.2,LCD,0.725,0.725,0.0,39.75,4.0,4.137,149.0,Approved,2015-08-16,,
52682,Kogan,KGPRO19VBA,Australia,China,47.0128,944.2,LCD,0.725,0.725,0.0,39.75,4.0,4.137,149.0,Approved,2015-08-16,,
54015,Kogan,LC-32A62(DVB-T),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A62(DVB-T+DVD),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A38(DVB-T),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A38(DVB-T+DVD),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
54015,Kogan,LC-32A58(DVB-T),Australia,China,80.12,2743.3,LCD,0.66,0.0,0.0,102.43,3.0,3.278,378.0,Approved,2015-11-08,,
