Appliance,Brand,Model.No,CEC,SRI,Star,Cap,Normalised cap,Durability,Cost,Total Defence
Clothes Washer,FISHER & PAYKEL,IW512,452,2.12819,2,5.5,2,3,6.52,
Clothes Washer,FISHER & PAYKEL,GW512,452,2.12819,2,5.5,2,3,6.52,
Clothes Washer,SIGNATURE,SIG60,471,2.1,1.5,6,2.5,3,6.21,
Clothes Washer,SIGNATURE,HWMP60TLF / QXB60-91BF,471,2.1,1.5,6,2.5,3,6.21,
Clothes Washer,LG,WF-T556,659,1.00654326,1,5.5,2,3,7.59,
Clothes Washer,LG,WD-8015C,235,4.1762883,4,7,3,3,6.35,
Clothes Washer,Haier,HWM50TLF,369,2.2568,2,5,2,3,5.69,
Clothes Washer,KLEENMAID,KFL1000,215,4.06,4,6.5,3,3,6.15,
Clothes Washer,LG,WD-1438RD,206,4.56522313,4.5,7,3,3,6.56,
Clothes Washer,AEG,L62800,235,3.8811,3.5,6,2.5,3,5.85,
Clothes Washer,INDESIT,WIDL106,269,3.6215,3.5,6.5,3,3,6.19,
Clothes Washer,CONIA,CWM5002F,358,2.209,2,5,2,3,5.58,
Clothes Washer,FISHER & PAYKEL,MW512,470,2.0528,1.5,5.5,2,3,6.2,
Clothes Washer,FISHER & PAYKEL,GW612,558,2.01714,2,6.5,3,3,7.58,
Clothes Washer,ARISTON,AVXL105,344,3.3461,3,7,3,3,6.44,
Clothes Washer,BOSCH,WFO2460AU,221,4.13,4,6.5,3,3,6.21,
Clothes Washer,INDESIT,WI102,380,3.097,3,7,3,3,6.8,
Clothes Washer,INDESIT,WIL102,380,3.097,3,7,3,3,6.8,
Clothes Washer,INDESIT,WIL102 (AUS),380,3.097,3,7,3,3,6.8,
Clothes Washer,ASKO,W6451,185,4.56,4.5,6,2.5,3,6.35,
Clothes Washer,LG,WD-1488RD,254,4.5651159,4.5,8,4,3,7.04,
Clothes Washer,FISHER & PAYKEL,MW612,509,2.24,2,6.5,3,3,7.09,
Clothes Washer,INDESIT,WIL62,274,3.2708,3,6,2.5,3,5.74,
Clothes Washer,INDESIT,WI 62,274,3.2708,3,6,2.5,3,5.74,
Clothes Washer,LG,WD-1238C,205,4.703,4.5,7.5,3.5,3,6.55,
Clothes Washer,Haier,XQB60-91BF,520,1.86,1.5,6,2.5,3,6.7,
Clothes Washer,Haier,HWMP60TLF,520,1.86,1.5,6,2.5,3,6.7,
Clothes Washer,INDESIT,WIXL125AUS,366,3.42428,3,7.5,3.5,3,6.66,
Clothes Washer,TELMANN,TEL6TL,520,1.86,1.5,6,2.5,3,6.7,
Clothes Washer,ARISTON,AVXL 129,286,3.98728,3.5,7.5,3.5,3,6.36,
Clothes Washer,WESTINGHOUSE,LT959SA,781,2.148,2,9.5,5,3,9.81,
Clothes Washer,ELECTROLUX,EWF 1090,356,3.68,3.5,8,4,3,7.06,
Clothes Washer,ARISTON,BS 1400,252,4.99,4.5,10,5,3,7.02,
Clothes Washer,MAYTAG,MAV7600AGE,845,1.19,1,7.5,3.5,3,9.45,
Clothes Washer,MAYTAG,MAV6300AGE,845,1.19,1,7.5,3.5,3,9.45,
Clothes Washer,MAYTAG,MAV7750AGE,845,1.19,1,7.5,3.5,3,9.45,
Clothes Washer,WESTINGHOUSE,LG WD-8050FH,186,4.42,4,7,3,3,5.86,
Clothes Washer,WESTINGHOUSE,LF708B,186,4.42,4,7,3,3,5.86,
Clothes Washer,SAMSUNG,SW674ASP,678,1.5031,1.5,6.5,3,3,8.28,
Clothes Washer,LG,WD-1485RD,205,4.8829,4.5,8,4,3,6.55,
Clothes Washer,BENDIX,W1063B,287,3.53,3.5,6.5,3,3,6.37,
Clothes Washer,BENDIX,TL843X,265,3.12,3,5,2,3,5.65,
Clothes Washer,BENDIX,B1053X,337,3.06,3,6,2.5,3,6.37,
Clothes Washer,KLEENMAID ST GEORGE,KFL805,268,3.02,3,5,2,3,5.68,
Clothes Washer,KLEENMAID ST GEORGE,KFL800N,268,3.02,3,5,2,3,5.68,
Clothes Washer,KLEENMAID ST GEORGE,KFL806,268,3.02,3,5,2,3,5.68,
Clothes Washer,KLEENMAID ST GEORGE,KFL800N,268,3.02,3,5,2,3,5.68,
Clothes Washer,KLEENMAID ST GEORGE,KFL805,268,3.02,3,5,2,3,5.68,
Clothes Washer,THOR,TWM806,289,3.26,3,6,2.5,3,5.89,
Clothes Washer,THOR,TWD1055,289,3.26,3,6,2.5,3,5.89,
Clothes Washer,THOR,TWM805,229,3.32,3,5,2,3,5.29,
Clothes Washer,SIMPSON,22S816K,690,2.043,2,8,4,3,8.9,
Clothes Washer,AEG,W1030,365,2.71,2.5,6,2.5,3,6.15,
Clothes Washer,SIMPSON,45S551D,321,3.033,3,5.5,2,3,6.21,
Clothes Washer,AEG,76730,219,4.29,4,6.5,3,3,6.19,
Clothes Washer,AEG,W1450,168,4.63475,4.5,6,2.5,3,6.18,
Clothes Washer,AEG,74620,253,3.79,3.5,6,2.5,3,6.03,
Clothes Washer,AEG,W1230,180,4.43,4,6,2.5,3,5.8,
Clothes Washer,AEG,62310,335,3.08,3,6,2.5,3,6.35,
Clothes Washer,AEG,L76760,257,4.162,4,7,3,3,6.57,
Clothes Washer,AEG,W830,169,4.33,4,6,2.5,3,5.69,
Clothes Washer,WESTINGHOUSE,LF708C,226,4.1116,4,7,3,3,6.26,
Clothes Washer,AEG,72630,218,4.16,4,6.5,3,3,6.18,
Clothes Washer,MEZZO,M5001T,460,1.74,1.5,5,2,3,6.1,
Clothes Washer,DAEWOO,DWF 450,484,1.2976,1,4.5,1.5,3,5.84,
Clothes Washer,AEG,W80,206,3.87,3.5,6,2.5,3,5.56,
Clothes Washer,AEG,W1050,171,4.45,4,6,2.5,3,5.71,
Clothes Washer,DAEWOO,DWF 650,636,1.5123,1.5,6.5,3,3,7.86,
Clothes Washer,DAEWOO,DWF 750,786,1.3723,1,7.5,3.5,3,8.86,
Clothes Washer,HITACHI,SF-6000PX,709,1.09,1,6,2.5,3,8.09,
Clothes Washer,SIMPSON,22S750L,696,1.81,1.5,7.5,3.5,3,8.46,
Clothes Washer,SAMSUNG,J1045AV,297,3.7175,3.5,7,3,3,6.47,
Clothes Washer,HITACHI,SF-6500PX,734,1.2,1,6.5,3,3,8.34,
Clothes Washer,HITACHI,SF-H800PX,917,1.33,1,8,4,3,10.17,
Clothes Washer,HITACHI,PS-60AP,429,1.22,1,3.5,1,3,5.29,
Clothes Washer,LG,WD-8026C,262,3.7286,3.5,7,3,3,6.12,
Clothes Washer,ELECTROLUX,EW1055F,243,3.634,3.5,5.5,2,3,5.93,
Clothes Washer,ARISTON,AL 128 D,327,3.2,3,6,2.5,3,6.27,
Clothes Washer,LG,WF-T655A,729,1.25,1,6.5,3,3,8.29,
Clothes Washer,Haier,XQJ85-196,709,2.0617,2,8.5,4,3,9.09,
Clothes Washer,LG,WF-T855A,851,1.63,1.5,8.5,4,3,10.01,
Clothes Washer,LG,WF-T955A,884,1.61,1.5,9.5,5,3,10.34,
Clothes Washer,LG,WD-1480 RD,256,4.2493,4,8,4,3,6.56,
Clothes Washer,MIELE,W2888,200,4.2739,4,5.5,2,3,6,
Clothes Washer,DEC,D-85CWM,709,2.0617,2,8.5,4,3,9.09,
Clothes Washer,MIELE,W2653,203,4.161,4,5.5,2,3,6.03,
Clothes Washer,Haier,XQJ85E,824,1.61,1.5,8.5,4,3,9.74,
Clothes Washer,Haier,XQJ85-97,824,1.61,1.5,8.5,4,3,9.74,
Clothes Washer,LG,WD-1223FB,206,4.64,4.5,7.5,3.5,3,6.56,
Clothes Washer,GENERAL ELECTRIC,WPRB9220,1157,0.81,1,8.5,4,3,12.57,
Clothes Washer,LG,WD-1422FD,209,4.5137,4.5,7,3,3,6.59,
Clothes Washer,LG,WD-8015FB,226,4.11,4,7,3,3,6.26,
Clothes Washer,ARISTON,AXD 120,392,3.17,3,7,3,3,6.92,
Clothes Washer,HOOVER,800ELD,722,1.91,1.5,8,4,3,8.72,
Clothes Washer,HOOVER,800RLD,722,1.91,1.5,8,4,3,8.72,
Clothes Washer,LG,WF-T552C,593,1.33,1,5.5,2,3,6.93,
Clothes Washer,LG,WF-T502C,608,1.03,1,5,2,3,7.08,
Clothes Washer,Haier,XQG60-QFQ1000,348,3.04,3,6,2.5,3,6.48,
Clothes Washer,Haier,XQG50-HN800TX,420,2,2,5,2,3,6.2,
Clothes Washer,LG,WD-1610FD,257,4.1795,4,7,3,3,6.57,
Clothes Washer,INDESIT,WIL102,382,3.0691,3,7,3,3,6.82,
Clothes Washer,HOOVER,800RLC,722,1.91,1.5,8,4,3,8.72,
Clothes Washer,HOOVER,800ELC,722,1.91,1.5,8,4,3,8.72,
Clothes Washer,ASKO,W6441,165,4.7318,4.5,6,2.5,3,6.15,
Clothes Washer,ARISTON,AVG16,326,3.59362,3.5,7,3,3,6.76,
Clothes Washer,EUROLEC,EW 1000,291,2.9492,2.5,5,2,3,5.41,
Clothes Washer,MIELE,W463,184,4.3452,4,5.5,2,3,5.84,
Clothes Washer,MAYTAG,MAF1375AAW,302,3.7,3.5,7.5,3.5,3,6.52,
Clothes Washer,MAYTAG,MAF1275AAW,302,3.7,3.5,7.5,3.5,3,6.52,
Clothes Washer,LG,WD-1015FB,220,4.32,4,7,3,3,6.2,
Clothes Washer,ELECTROLUX,EW1170C,177,2.88,2.5,3,0.5,3,4.27,
Clothes Washer,MAYTAG,LAT9306AGE,767,1.36,1,7.5,3.5,3,8.67,
Clothes Washer,MAYTAG,LAT9606AGE,767,1.36,1,7.5,3.5,3,8.67,
Clothes Washer,MAYTAG,LAT9806AGE,767,1.36,1,7.5,3.5,3,8.67,
Clothes Washer,CANDY,CBD 101.75-04 AUS,443,3.1394,3,8,4,3,7.43,
Clothes Washer,Haier,HWM5TL,460,1.74,1.5,5,2,3,6.1,
Clothes Washer,Haier,XQJ50-31B,460,1.74,1.5,5,2,3,6.1,
Clothes Washer,MAYTAG,MAV6451AGW,804,1.501,1.5,8,4,3,9.54,
Clothes Washer,MAYTAG,MAV9750AGW,804,1.501,1.5,8,4,3,9.54,
Clothes Washer,LG,WF-T802,804,1.51,1.5,8,4,3,9.54,
Clothes Washer,MIELE,W918,204,3.89,3.5,5,2,3,5.54,
Clothes Washer,ANDI,WAH7212G,352,3.08,3,6,2.5,3,6.52,
Clothes Washer,KLEENMAID,LTK95 & LTK96,610,2.2,2,8,4,3,8.1,
Clothes Washer,SIMPSON,36S550L,457,2.052,2,5.5,2,3,6.57,
Clothes Washer,THOR,TH1155LS,323,3.13697,3,6,2.5,3,6.23,
Clothes Washer,FISHER & PAYKEL,IW512,458,2.0557,2,5.5,2,3,6.58,
Clothes Washer,MAYTAG,MAV7750AGE,845,1.19,1,7.5,3.5,3,9.45,
Clothes Washer,MAYTAG,MAV6300AGE,845,1.19,1,7.5,3.5,3,9.45,
Clothes Washer,MAYTAG,MAV7600AGE,845,1.19,1,7.5,3.5,3,9.45,
Clothes Washer,FISHER & PAYKEL,GW612,518,2.22,2,6.5,3,3,7.18,
Clothes Washer,OMEGA,OCW600,256,3.1,3,5.5,2,3,5.56,
Clothes Washer,SAMSUNG,SW51ASP,451,1.6866,1.5,5,2,3,6.01,
Clothes Washer,MAYTAG,PAV3300AGW,728,1.73,1.5,8,4,3,8.78,
Clothes Washer,MAYTAG,MAF1200AAW,278,3.56,3.5,6,2.5,3,6.28,
Clothes Washer,MAYTAG,MAF1300AAW,326,3.45,3,7,3,3,6.26,
Clothes Washer,FISHER & PAYKEL,IW712,321,3.5,3.5,7,3,3,6.71,
Clothes Washer,Haier,XQJ85-96,880,1.49,1,8.5,4,3,9.8,
Clothes Washer,ANDI,WMA7612L,261,3.736,3.5,6,2.5,3,6.11,
Clothes Washer,INDESIT,WIXL 125,324,3.635,3.5,7.5,3.5,3,6.74,
Clothes Washer,MAYTAG,LAT9606BGE,695,1.45,1,7,3,3,7.95,
Clothes Washer,MAYTAG,LAT9306BGE,695,1.45,1,7,3,3,7.95,
Clothes Washer,MAYTAG,LAT9806BGE,695,1.45,1,7,3,3,7.95,
Clothes Washer,SIMPSON,45S651D,323,3.412,3,6.5,3,3,6.23,
Clothes Washer,KLEENMAID,KFL1600,155,5.1,5,6.5,3,3,6.55,
Clothes Washer,SIMPSON,22S805L,690,2.043,2,8,4,3,8.9,
Clothes Washer,SIMPSON,22S800L,690,2.043,2,8,4,3,8.9,
Clothes Washer,THOR,TWM605,272,3,3,5,2,3,5.72,
Clothes Washer,THOR,ST100X,290,3.148783,3,5.5,2,3,5.9,
Clothes Washer,THOR,Bendix  B1053X  / VCW0691,337,3.0727,3,6,2.5,3,6.37,
Clothes Washer,THOR,ST120X,337,3.0727,3,6,2.5,3,6.37,
Clothes Washer,BOSCH,WFR2830AU,200,4.5,4.5,6.5,3,3,6.5,
Clothes Washer,WESTINGHOUSE,LT955S,804,2.032,2,9.5,5,3,10.04,
Clothes Washer,BOSCH,WFL2000AU,190,4.393,4,6.5,3,3,5.9,
Clothes Washer,BOSCH,WFL2080AU,190,4.393,4,6.5,3,3,5.9,
Clothes Washer,ARISTON,AVXL105,290,3.58,3.5,7,3,3,6.4,
Clothes Washer,CENTREX,CTW45268,469,1.49,1,4.5,1.5,3,5.69,
Clothes Washer,Haier,HWMP60TLF / QXB60-91BF,471,2.1,2,6,2.5,3,6.71,
Clothes Washer,LG,WD-8003CH,304,2.73,2.5,5,2,3,5.54,
Clothes Washer,TELMANN,TEL5FL,414,2.04,2,5,2,3,6.14,
Clothes Washer,BENDIX,W1043N,287,3.08,3,5,2,3,5.87,
